id_group	title	uid_user	sex	age
27895931	Новинки Музыки 2017	479	Ж	28
27895931	Новинки Музыки 2017	683	Ж	34
27895931	Новинки Музыки 2017	761	Ж	30
27895931	Новинки Музыки 2017	914	М	30
27895931	Новинки Музыки 2017	916	Ж	30
27895931	Новинки Музыки 2017	918	М	33
27895931	Новинки Музыки 2017	958	Ж	30
27895931	Новинки Музыки 2017	1032	Ж	31
27895931	Новинки Музыки 2017	1271	Ж	30
27895931	Новинки Музыки 2017	1334	Ж	30
27895931	Новинки Музыки 2017	1348	Ж	31
27895931	Новинки Музыки 2017	1583	М	62
27895931	Новинки Музыки 2017	1699	М	22
27895931	Новинки Музыки 2017	1765	М	28
27895931	Новинки Музыки 2017	1820	М	37
27895931	Новинки Музыки 2017	1887	Ж	28
27895931	Новинки Музыки 2017	1955	Ж	32
27895931	Новинки Музыки 2017	2025	Ж	25
27895931	Новинки Музыки 2017	2123	Ж	33
27895931	Новинки Музыки 2017	2169	Ж	30
27895931	Новинки Музыки 2017	2201	М	24
27895931	Новинки Музыки 2017	2290	Ж	30
27895931	Новинки Музыки 2017	2388	Ж	29
27895931	Новинки Музыки 2017	2425	Ж	28
27895931	Новинки Музыки 2017	2448	Ж	34
27895931	Новинки Музыки 2017	2617	Ж	26
27895931	Новинки Музыки 2017	2788	Ж	29
27895931	Новинки Музыки 2017	2808	Ж	30
27895931	Новинки Музыки 2017	3001	Ж	29
27895931	Новинки Музыки 2017	3002	М	29
27895931	Новинки Музыки 2017	3172	М	28
27895931	Новинки Музыки 2017	3286	Ж	28
27895931	Новинки Музыки 2017	3354	М	30
27895931	Новинки Музыки 2017	3479	Ж	29
27895931	Новинки Музыки 2017	3657	Ж	25
27895931	Новинки Музыки 2017	3756	Ж	24
27895931	Новинки Музыки 2017	3840	Ж	28
27895931	Новинки Музыки 2017	3881	Ж	28
27895931	Новинки Музыки 2017	4058	М	29
27895931	Новинки Музыки 2017	4171	Ж	28
27895931	Новинки Музыки 2017	4498	Ж	28
27895931	Новинки Музыки 2017	4505	М	29
27895931	Новинки Музыки 2017	4577	Ж	29
27895931	Новинки Музыки 2017	4601	М	31
27895931	Новинки Музыки 2017	4661	М	32
